epoch,loss,lr,train_accuracy,acc_train_max_diff,validation_accuracy,validation_loss,acc_val_max_diff,test_random,test_accuarcy,test_loss,acc_test_max_dif
1,0.002668293249736347,0.001,0.5532461057141761,0.041775564212568006,0.5730102213670679,0.002655356233706741,0.06423032914208282,0.5071436881908086,0.5476556137289121,0.002707451855186254,0.040511925538103566
1,0.002668293249736347,0.001,0.5532461057141761,0.041775564212568006,0.5730102213670679,0.002655356233706741,0.06423032914208282,0.5071436881908086,0.5476556137289121,0.002707451855186254,0.040511925538103566
2,0.002616109204922207,0.001,0.5893535184180679,0.07822268246845399,0.5675767241765055,0.0026564559703983136,0.06423032914208282,0.5071436881908086,0.5481210005817335,0.0027182434734180265,0.04097731239092495
3,0.002616501061675243,0.001,0.5858167452920646,0.07822268246845399,0.5539738041511919,0.002679046911465318,0.06423032914208282,0.5071436881908086,0.5516463059918557,0.0027280319895142385,0.04450261780104714
4,0.0026211500570847766,0.001,0.5836387943740378,0.07822268246845399,0.5683565908320921,0.0026588623605264335,0.06423032914208282,0.5071436881908086,0.5526585223967423,0.002708695143929327,0.04551483420593372
5,0.0026072326727394077,0.001,0.5897124008963843,0.07841171217077325,0.5693537973753012,0.0026521599664929337,0.06423032914208282,0.5071436881908086,0.5547411285631181,0.0026883150093634507,0.04759744037230951
5,0.0026072326727394077,0.001,0.5897124008963843,0.07841171217077325,0.5693537973753012,0.0026521599664929337,0.06423032914208282,0.5071436881908086,0.5547411285631181,0.0026883150093634507,0.04759744037230951
6,0.0026022034657243753,0.001,0.5908109648185589,0.0798308047186197,0.575445706578367,0.0026419296470822588,0.06552158376854578,0.5071436881908086,0.5574403723094823,0.0026893738596989983,0.05029668411867372
7,0.0026009807011475677,0.001,0.5932875278750321,0.08274295795869835,0.5715016268529823,0.002645627544589157,0.06552158376854578,0.5071436881908086,0.5554624781849913,0.002675095259831214,0.05029668411867372
7,0.0026009807011475677,0.001,0.5932875278750321,0.08274295795869835,0.5715016268529823,0.002645627544589157,0.06552158376854578,0.5071436881908086,0.5554624781849913,0.002675095259831214,0.05029668411867372
8,0.002590336787688308,0.001,0.5953011051388684,0.08565511119877711,0.5816590704245159,0.0026282934968104247,0.06862187334198433,0.5071436881908086,0.5600698080279232,0.0026911485690998436,0.052926119837114594
9,0.00258864954949763,0.001,0.5977557517081162,0.08689339272701369,0.5789806759270505,0.00262954243504928,0.06878168208288316,0.5071436881908086,0.5629668411867365,0.002682091480705057,0.05582315299592788
10,0.0025787404925206718,0.001,0.6003254598352976,0.08979732728438283,0.586856050678548,0.0026149208803996882,0.07587719017879402,0.5071436881908086,0.5626759744037231,0.0026726264219217484,0.05582315299592788
10,0.0025787404925206718,0.001,0.6003254598352976,0.08979732728438283,0.586856050678548,0.0026149208803996882,0.07587719017879402,0.5071436881908086,0.5626759744037231,0.0026726264219217484,0.05582315299592788
11,0.0025721133714121675,0.001,0.6008706324550301,0.090643851603465,0.5938237117817396,0.0026043381154786,0.08214169282203065,0.5071436881908086,0.5627225130890052,0.0026813005558483263,0.05582315299592788
12,0.002573678010156449,0.001,0.6022541107111352,0.09224101561001807,0.5895024834278336,0.0026057757980126094,0.08214169282203065,0.5071436881908086,0.5646771378708552,0.0026656763681219787,0.05753344968004659
12,0.002573678010156449,0.001,0.6022541107111352,0.09224101561001807,0.5895024834278336,0.0026057757980126094,0.08214169282203065,0.5071436881908086,0.5646771378708552,0.0026656763681219787,0.05753344968004659
13,0.0025561027446702666,0.001,0.6077304929565889,0.09652020974078268,0.5870030747201749,0.002619772623881917,0.08214169282203065,0.5071436881908086,0.5650959860383944,0.0026735053584629746,0.05795229784758582
14,0.002557421019729405,0.001,0.6070182071217626,0.09652020974078268,0.5982727871283647,0.0025873166376469167,0.08900068398141103,0.5071436881908086,0.5664107038976149,0.002672844317987119,0.05926701570680637
15,0.002541174640739044,0.001,0.6121576233761252,0.10127608746870043,0.6018141488266843,0.002582648568119639,0.0916599014299686,0.5071436881908086,0.5652239674229202,0.00267917247793576,0.05926701570680637
16,0.002549266664435707,0.001,0.6093331360849483,0.10127608746870043,0.5995832188037357,0.00258388344828543,0.0916599014299686,0.5071436881908086,0.5667015706806283,0.002670639706185004,0.05955788248981975
17,0.002543026527979965,0.001,0.610711135219247,0.10127608746870043,0.6059436066915116,0.002565400915204032,0.09286805551116428,0.5071436881908086,0.5653054101221641,0.002663739914114632,0.05955788248981975
17,0.002543026527979965,0.001,0.610711135219247,0.10127608746870043,0.6059436066915116,0.002565400915204032,0.09286805551116428,0.5071436881908086,0.5653054101221641,0.002663739914114632,0.05955788248981975
