epoch,loss,train_accuracy,acc_train_max_diff,validation_accuracy,acc_val_max_diff,test_random,test_accuarcy,acc_test_max_dif
1,0.0018902376431954187,0.5278432477036115,0.007228868037335134,0.5467746584423819,0.026557906266213127,0.5013569809129187,0.5214157275763093,0.02005874666339058
2,0.0018617797794396732,0.5645706408146929,0.043840144676183246,0.5668991756499683,0.046953363694010486,0.5013569809129187,0.54481387582787,0.043456894914951305
3,0.0018433844311354648,0.5784601473443916,0.05764318149251668,0.5702599873176918,0.05051593935550813,0.5013569809129187,0.5482537945207009,0.046896813607782195
4,0.0018446995120321018,0.5794063730649314,0.058572113270383364,0.5720297457773679,0.052326050613939024,0.5013569809129187,0.5446463473201023,0.046896813607782195
5,0.001840703516575134,0.5808417703067945,0.06039291837753169,0.5766472588920274,0.056044272784919524,0.5013569809129187,0.551112947719937,0.049755966807018326
6,0.0018350350423761977,0.5871886472678041,0.06671756026939013,0.5715109240790914,0.056044272784919524,0.5013569809129187,0.552911087036644,0.05155410612372535
7,0.001835874901122642,0.58373974098615,0.06671756026939013,0.5791721911569724,0.05729520954631928,0.5013569809129187,0.5540391123222802,0.05268213140936151
8,0.001825746680950117,0.5891329805369028,0.06839260214543708,0.5819738283276648,0.06205107511385255,0.5013569809129187,0.5492813027016764,0.05268213140936151
9,0.0018206922585926155,0.5932118804445038,0.07276796964171894,0.5865509886435695,0.06593647316538875,0.5013569809129187,0.5524420072148944,0.05268213140936151
10,0.0018161082507278231,0.5956602086143599,0.0746505388298424,0.5918544993370611,0.07256009684671694,0.5013569809129187,0.5513139819292583,0.05268213140936151
