epoch,loss,train_accuracy,validation_accuracy,test_random,test_accuarcy
0,1095.6821582317352,0.5178918189768904,0.5202167521761688,0.5013569809129187,0.4986430190870813
1,1084.2248600125313,0.5484205689213026,0.5652043581022655,0.5013569809129187,0.545115427141852
2,1066.403684079647,0.5798486038847136,0.5734536231048596,0.5013569809129187,0.5439092218859243
3,1066.31168872118,0.5785564993107128,0.5757883207471033,0.5013569809129187,0.5443112903045668
4,1063.4521166682243,0.582734221747874,0.577725255087335,0.5013569809129187,0.5483543116253616
5,1059.993559896946,0.5879668746880914,0.5751080878538076,0.5013569809129187,0.5494488312094441
6,1061.9121666550636,0.5826057524594457,0.5702023404623278,0.5013569809129187,0.5512916447948892
7,1057.7108176350594,0.5853826655400898,0.5742606790799561,0.5013569809129187,0.550398159420128
8,1054.2400019168854,0.5895801524831631,0.5822908860321669,0.5013569809129187,0.5584060220914259
9,1050.6747700870037,0.5928338842689357,0.5886493341788206,0.5013569809129187,0.5555245317578208
10,1051.1655569374561,0.5958702064896755,0.5844699371649277,0.5013569809129187,0.5557814088030647
11,1043.714606165886,0.6013573274435106,0.5905055629215427,0.5013569809129187,0.5550219462345176
12,1043.9916124790907,0.6004209839759268,0.5959647201245172,0.5013569809129187,0.556049454415493
13,1038.9269043207169,0.6050928190608895,0.5941257854384043,0.5013569809129187,0.5549772719657795
14,1036.9458121806383,0.6069951527549251,0.6023289329567072,0.5013569809129187,0.5550442833688866
15,1035.5285485386848,0.6072718558376938,0.6034588113218424,0.5013569809129187,0.5527212213945073
16,1032.5259632319212,0.6071063281006804,0.602697872831037,0.5013569809129187,0.5564068485653976
17,1030.0333521664143,0.6105478226926174,0.6052170404104457,0.5013569809129187,0.5548767548611189
18,1027.8377432823181,0.6150566006038056,0.6060702138698334,0.5013569809129187,0.5518165674525615
19,1027.0053330659866,0.6128528581946112,0.6151611229607425,0.5013569809129187,0.5566413884762724
20,1026.4919589161873,0.6137447315238929,0.6147057128033666,0.5013569809129187,0.5553570032500531
21,1025.5891376435757,0.6153036569277064,0.6137891278030784,0.5013569809129187,0.5577470766275394
22,1023.6144468188286,0.6168304650094129,0.6161584135585404,0.5013569809129187,0.5561946457888918
23,1025.5213187485933,0.6168304650094129,0.6153455928979075,0.5013569809129187,0.5579146051353072
24,1022.2672941684723,0.6185549181502399,0.6200149881823946,0.5013569809129187,0.5604163641846388
25,1022.2959296703339,0.6161732951878369,0.6136623047212775,0.5013569809129187,0.5583948535242413
26,1019.4772810637951,0.6206079562018549,0.6243903845045253,0.5013569809129187,0.5601929928409485
27,1017.1753757596016,0.6217962971198173,0.6244019138755981,0.5013569809129187,0.5606509040955135
28,1015.9001365303993,0.6232934584426557,0.6299129532484004,0.5013569809129187,0.563454214458827
29,1013.2876410484314,0.6242693309220636,0.6294344843488787,0.5013569809129187,0.5651294995365045
30,1010.4760266393423,0.6264854261474531,0.626898022712861,0.5013569809129187,0.5627952689949406
31,1010.6583153605461,0.6273723583502567,0.6307084798524241,0.5013569809129187,0.5652188480739806
32,1007.7916066497564,0.6295093955519979,0.6296996598835534,0.5013569809129187,0.5654980622535934
33,1008.829661399126,0.6273797700399737,0.632576237966219,0.5013569809129187,0.5643923741023265
34,1006.7677506804466,0.6299442146820632,0.6358332852942872,0.5013569809129187,0.5660229849112657
35,1008.6864755004644,0.6265249551592772,0.6286620164870006,0.5013569809129187,0.5652188480739806
36,1007.258476704359,0.6299664497512143,0.6279241367383409,0.5013569809129187,0.5642248455945587
37,1004.7049398869276,0.6316241976845881,0.6357237562690955,0.5013569809129187,0.566592581837676
38,1007.5633490681648,0.6288225789715539,0.6353202282815472,0.5013569809129187,0.5687592838714721
39,1001.9282848238945,0.6321281925853456,0.6368363405776215,0.5013569809129187,0.5652523537755342
40,1003.2873349487782,0.6317847842951236,0.6356949328414135,0.5013569809129187,0.5656879278957303
41,1003.5888699889183,0.6320021938601562,0.6322072980918891,0.5013569809129187,0.565185342372427
42,1003.5296350419521,0.6321948977927988,0.6408889145097135,0.5013569809129187,0.5692842065291444
43,997.6224813014269,0.6376943715628289,0.6357237562690955,0.5013569809129187,0.5679439784670025
44,998.8832378834486,0.6367283813363771,0.637199515766415,0.5013569809129187,0.568323709751276
45,999.2817231714725,0.6361552106649274,0.6387098633769528,0.5013569809129187,0.5666149189720451
46,995.8129014968872,0.6384874223625502,0.6431429065544475,0.5013569809129187,0.570054837664876
47,999.470033377409,0.6363405029078529,0.6425606733152707,0.5013569809129187,0.5683795525871986
48,995.0971775949001,0.6403452859182837,0.6451259583789705,0.5013569809129187,0.5709818287411907
49,993.3786073178053,0.6405948128054234,0.645662074133856,0.5013569809129187,0.5695857578431263
50,995.0050230175257,0.6373460221461289,0.6445667838819392,0.5013569809129187,0.5697979606196321
51,996.3221624046564,0.6374868442507523,0.6459791318383582,0.5013569809129187,0.5694740721712811
52,992.379612505436,0.6407232820938518,0.6449991352971696,0.5013569809129187,0.5680109898701096
53,990.9822638779879,0.6417213896424107,0.6470571280336658,0.5013569809129187,0.5730145079687727
54,989.7988656461239,0.6417806831601468,0.6451144290078976,0.5013569809129187,0.5690496666182695
55,990.5820479393005,0.6430011414002165,0.6471724217443938,0.5013569809129187,0.5685917553637044
56,990.2756964564323,0.6420376217370036,0.6473395976249495,0.5013569809129187,0.5720316740565353
57,990.1804430782795,0.6425712633966292,0.6477719490401799,0.5013569809129187,0.5721880339971185
58,987.1857740879059,0.6451159435328067,0.6464518360523434,0.5013569809129187,0.5699319834258463
59,986.2779317200184,0.6445057144127718,0.646077131492477,0.5013569809129187,0.567653595720205
60,989.1627304404974,0.6426009101554973,0.6477546549835707,0.5013569809129187,0.5678769670638953
61,986.609335437417,0.6448293581970818,0.6487115927826137,0.5013569809129187,0.5691725208572992
62,988.2989087253809,0.6439967783855364,0.6540554562748602,0.5013569809129187,0.5703675575460424
63,990.729595631361,0.6429220833765682,0.6487634749524414,0.5013569809129187,0.5709818287411907
64,988.1297661811113,0.6430505526649966,0.6534789877212198,0.5013569809129187,0.572199202564303
65,984.3584261089563,0.6450912379004166,0.648901827405315,0.5013569809129187,0.5722662139674102
