epoch,loss,lr,train_accuracy,acc_train_max_diff,validation_accuracy,validation_loss,acc_val_max_diff,test_random,test_accuarcy,test_loss,acc_test_max_dif
1,0.0027044265788757,0.001,0.5205978419886665,0.0084851524759805,0.5218399933121551,0.0026964098837957,0.0115156328373181,0.50414922840172,0.5126202700953532,0.0027120216712894,0.0084710416936331
2,0.0026634850415825,0.001,0.5589989789155008,0.0468862894028148,0.5686409741960653,0.0026623058831825,0.0583166137212283,0.50414922840172,0.5473961254692151,0.0027053012315178,0.043246897067495
3,0.0026272741258893,0.001,0.5791041924177012,0.0669915029050152,0.568675806721284,0.0026578713005594,0.058351446246447,0.50414922840172,0.5482159036976313,0.0026984492159351,0.0440666752959112
4,0.0026256243265067,0.001,0.583200472923347,0.071087783410661,0.5619879618792843,0.0026615690698423,0.058351446246447,0.50414922840172,0.550761530827976,0.0026989033559916,0.0466123024262559
5,0.0026141609701259,0.001,0.5894075918528205,0.0772949023401345,0.5613191773950844,0.0026578540421031,0.058351446246447,0.50414922840172,0.5524729976557219,0.0027055646214521,0.0483237692540018
6,0.002622065514858,0.001,0.5829586371209,0.0772949023401345,0.5709956529008527,0.0026497534192147,0.0606712924260157,0.50414922840172,0.5527318749910112,0.0026950596154882,0.0485826465892911
7,0.0025989653057915,0.001,0.5968477748120548,0.0847350852993688,0.5811667502647272,0.0026282139323045,0.0708423897898902,0.50414922840172,0.5559246954595792,0.0027051436916694,0.0517754670578591
8,0.002597237622574,0.001,0.5955758976288149,0.0847350852993688,0.5721799587582901,0.0026418666601287,0.0708423897898902,0.50414922840172,0.5577080726582387,0.0026927595363592,0.0535588442565186
9,0.0026046450292299,0.001,0.5910467011805169,0.0847350852993688,0.5748690297051775,0.0026436112752588,0.0708423897898902,0.50414922840172,0.5566294170945334,0.0026878545063995,0.0535588442565186
10,0.002589723157149,0.001,0.5974717708949119,0.0853590813822259,0.5818912667892772,0.002625390445034,0.0715669063144401,0.50414922840172,0.5579813320677108,0.0026929158443559,0.0538321036659907
11,0.0025808857156325,0.001,0.6008246302300724,0.0887119407173864,0.5820584629103271,0.0026242620580698,0.0717341024354901,0.50414922840172,0.5598222375631013,0.002691377360273,0.0556730091613812
12,0.0025796053832139,0.001,0.6001707778753083,0.0887119407173864,0.588237752884133,0.0026095360455216,0.077913392409296,0.50414922840172,0.5622671901741669,0.0026847926011986,0.0581179617724468
13,0.0025748010972788,0.001,0.6032877726624032,0.0911750831497172,0.5915189767597392,0.0025994955479371,0.0811946162849022,0.50414922840172,0.5636622513698926,0.0026930022205566,0.0595130229681725
14,0.0025719005244434,0.001,0.6042133170915214,0.0921006275788354,0.5852491222203645,0.0026115549261445,0.0811946162849022,0.50414922840172,0.5609584214235377,0.0026960244219027,0.0595130229681725
15,0.0025643081402594,0.001,0.607697544023073,0.095584854510387,0.5945145739285516,0.0025882922712542,0.0841902134537145,0.50414922840172,0.5597647092663703,0.0026951335904493,0.0595130229681725
16,0.0025647656922796,0.001,0.6066615313878987,0.095584854510387,0.5972454439057013,0.0025902311493838,0.0869210834308643,0.50414922840172,0.5610159497202687,0.0026869602477068,0.0595130229681725
17,0.0025540759397693,0.001,0.6111787853274337,0.0990660958147477,0.6029928105667949,0.0025746506877429,0.0926684500919579,0.50414922840172,0.5621665156548877,0.0026905489760669,0.0595130229681725
18,0.0025506106632065,0.001,0.6095814747804071,0.0990660958147477,0.6032993367887198,0.0025719834606527,0.0929749763138828,0.50414922840172,0.5619076383195984,0.0026966906487457,0.0595130229681725
