epoch,loss,test_loss,train_accuracy,test_accuarcy,lr,acc_train_max_diff,validation_accuracy,validation_loss,acc_val_max_diff,test_random,acc_test_max_dif
1,0.002705258873128958,0.002714381779824895,0.520605367576589,0.5107362183774143,0.001,0.009365940460444807,0.5242746177156989,0.002696866675468609,0.011912640635340921,0.50414922840172,0.006586989975694291
2,0.002679223210706755,0.0026969916208697915,0.5510678127528461,0.5492945592613366,0.001,0.03925215786849468,0.5628060886829914,0.002672596972100541,0.0517886377094291,0.50414922840172,0.045145330859616584
3,0.0026406428604954946,0.0027031857213932714,0.576430791462275,0.5493233234097021,0.001,0.06511373780740859,0.5712215681493609,0.002656260240231193,0.05904071893831209,0.50414922840172,0.045174095007982085
4,0.0026312316141362674,0.0026919190586620506,0.5809659727053147,0.5519552429851433,0.001,0.06931154217061708,0.5708941446933018,0.0026572029025640443,0.05950050506809713,0.50414922840172,0.04780601458342326
5,0.002629686585762836,0.002696498819789061,0.5789775390595844,0.5520415354302397,0.001,0.06931154217061708,0.5665470758298792,0.002658377852350689,0.05950050506809713,0.50414922840172,0.04789230702851965
6,0.002611661956871885,0.0027131279974807678,0.5872059521641383,0.5510347902374481,0.001,0.07562914816816291,0.5715002264098367,0.0026493038392132557,0.05992545891532275,0.50414922840172,0.04789230702851965
7,0.002608424854056758,0.002698085118916721,0.5899049672027874,0.5525305259524529,0.001,0.07870435335600423,0.5706851509979449,0.0026529132813270274,0.05992545891532275,0.50414922840172,0.04838129755073284
8,0.0026129874259198512,0.0026900248476366857,0.587617969946587,0.5530051344004833,0.001,0.07870435335600423,0.5662196523738201,0.0026555690813049627,0.05992545891532275,0.50414922840172,0.048855905998763216
9,0.002615678528641708,0.0026957107819379445,0.5864117729602879,0.554227610706016,0.001,0.07870435335600423,0.5703437946288621,0.002647242668077047,0.05992545891532275,0.50414922840172,0.05007838230429595
10,0.0026035887758571468,0.0026948375384451767,0.5912246183610649,0.5561116624239548,0.001,0.07896708933321782,0.5723431676477759,0.002647840640791457,0.0623567522379741,0.50414922840172,0.05196243402223477
11,0.0025998754449443173,0.002695860031862165,0.5911320636418192,0.5584990867382894,0.001,0.08051663447155732,0.5746002995576299,0.0026380671310534424,0.0623567522379741,0.50414922840172,0.054349858336569364
12,0.0025928144230914327,0.0026852865166893244,0.5949596491280451,0.5603831384562281,0.001,0.08342762967364015,0.5827022884809642,0.002624531350974076,0.07102302413877183,0.50414922840172,0.05623391005450806
13,0.0025886832086066385,0.002698477949281205,0.5968794131433672,0.5624973033610907,0.001,0.08431436359673605,0.5819708105472151,0.002617634815574959,0.07270194015813848,0.50414922840172,0.05834807495937066
14,0.0025781821484501485,0.002691636395007614,0.6007129699018025,0.5634752844055171,0.001,0.08894807083123102,0.5909157407084886,0.002604551372443701,0.0797798599742241,0.50414922840172,0.05932605600379692
15,0.002574777494203661,0.002686005230526427,0.60327763131574,0.564295062633933,0.001,0.09206806056064276,0.5901494304921802,0.002603192175189141,0.0797798599742241,0.50414922840172,0.06014583423221297
16,0.002577194470094713,0.002687236811252643,0.6011488727730887,0.5639067466309992,0.001,0.09206806056064276,0.5891114284719078,0.002606543234728436,0.0797798599742241,0.50414922840172,0.06014583423221297
17,0.0025547202674143345,0.0026777236575754983,0.6082755861550082,0.565402482346004,0.001,0.09614942511576796,0.5897314431014664,0.0026081042338482264,0.0797798599742241,0.50414922840172,0.061253253944283936
18,0.0025595374876060148,0.002697237153241945,0.6082337872495425,0.5631876429218622,0.001,0.09614942511576796,0.5948030234421262,0.002590558036973415,0.08464244661952702,0.50414922840172,0.061253253944283936
19,0.002561249440198612,0.002683629961729485,0.6065409315781773,0.5621808977290705,0.001,0.09614942511576796,0.5909645059040719,0.0026033931478337395,0.08464244661952702,0.50414922840172,0.061253253944283936
20,0.0025628556275000647,0.0026954133437792913,0.6061020430707864,0.5632451712185932,0.001,0.09614942511576796,0.6005851823469992,0.0025806424716094552,0.08754745898498728,0.50414922840172,0.061253253944283936
21,0.002547642071078603,0.0026917414422898012,0.6108969746549351,0.5639642749277299,0.001,0.09880066997674186,0.597673203525027,0.0025820012779219892,0.08754745898498728,0.50414922840172,0.061253253944283936
22,0.002547161062901476,0.002685145897012926,0.6110193857352278,0.5629287655865729,0.001,0.0991261043121543,0.6086662719007977,0.002559987173014339,0.09782994879654472,0.50414922840172,0.061253253944283936
23,0.002541895372466532,0.00269379711331486,0.6143394130836546,0.5644532654499432,0.001,0.10294771852617067,0.6097182068340938,0.0025555343103324107,0.09782994879654472,0.50414922840172,0.061253253944283936
24,0.0025233347812798393,0.0026990308329171327,0.618826824149019,0.5645970861917706,0.001,0.10711268089222747,0.6033647984952454,0.002565562438556253,0.09782994879654472,0.50414922840172,0.061253253944283936
25,0.002529706732636961,0.002680876622499223,0.616745835784043,0.5662797888711509,0.001,0.10711268089222747,0.6107422759413424,0.002551346220455763,0.09896548120798354,0.50414922840172,0.062130560469431
26,0.0025279795841850862,0.002695352545001393,0.6179281476815043,0.5671570953962981,0.001,0.10711268089222747,0.6180082900832492,0.002531022085258715,0.10651015361036607,0.50414922840172,0.06300786699457805
27,0.0025229204610009827,0.0026925807674298948,0.6196478740778116,0.5645827041175878,0.001,0.10761426775781713,0.6138841478282072,0.002540742700519912,0.10651015361036607,0.50414922840172,0.06300786699457805
28,0.002521500804639495,0.0027025422096540468,0.6189104219599507,0.5658627087198516,0.001,0.10761426775781713,0.6169981538890243,0.002529534079769512,0.10651015361036607,0.50414922840172,0.06300786699457805
29,0.002515633088597853,0.0026813110653598447,0.6216392933596467,0.5655463030878314,0.001,0.10997889155273977,0.6181267198439514,0.002535100920022877,0.1067470131317706,0.50414922840172,0.06300786699457805
30,0.002506097722649045,0.0026942165365010768,0.6246249294643471,0.5658195624973034,0.001,0.11309291000994215,0.6156396948692048,0.0025353203703357354,0.1067470131317706,0.50414922840172,0.06300786699457805
31,0.002514219887387877,0.0026759579491614266,0.6218154458898241,0.5678330528828868,0.001,0.11309291000994215,0.6189139294297955,0.002529705981732561,0.10719983280504364,0.50414922840172,0.06368382448116673
32,0.002508335051896832,0.0026794961090270035,0.6248936367137701,0.5687966518531302,0.001,0.11360046814774127,0.6188094325821171,0.002524690567593809,0.10719983280504364,0.50414922840172,0.06464742345141017
33,0.0024969927595574967,0.0026905177974482853,0.6276643070189319,0.568422717924379,0.001,0.1164278655388924,0.6246264237695496,0.00251280263306608,0.11225748023267956,0.50414922840172,0.06464742345141017
34,0.002498849332787293,0.0026906750012592106,0.6257743993646566,0.5696164300815464,0.001,0.1164278655388924,0.6227315475983142,0.002513394099284399,0.1131143543836428,0.50414922840172,0.06546720167982634
35,0.0025075882676911685,0.0026959731706178245,0.6236426551859007,0.5699040715652012,0.001,0.1164278655388924,0.6249886795081682,0.0025070860680378136,0.11413842349089133,0.50414922840172,0.06575484316348112
36,0.0025022379953473137,0.0026963182446583947,0.626010264616928,0.5681063122923588,0.001,0.1164278655388924,0.6252603713121321,0.0025089139694861764,0.11413842349089133,0.50414922840172,0.06575484316348112
37,0.00250557274163849,0.0026801263742895,0.6257385717314002,0.5704649724583281,0.001,0.1164278655388924,0.624006409139991,0.002513245513494072,0.11413842349089133,0.50414922840172,0.0663157440566079
38,0.0024978291709085863,0.002693162637725851,0.6250279903384816,0.5682213688858208,0.001,0.1164278655388924,0.6210944303180187,0.0025149815425283503,0.11413842349089133,0.50414922840172,0.0663157440566079
39,0.0024914945732452875,0.0027053891443184065,0.6284077304090023,0.5685090103694754,0.001,0.11717726020117225,0.6276289665261765,0.002498155645850958,0.11524609007628273,0.50414922840172,0.0663157440566079
40,0.002491975461790298,0.002693165457183023,0.6287242078361005,0.568753505630582,0.001,0.11717726020117225,0.6281096520254972,0.002494050792161397,0.11733602702985126,0.50414922840172,0.0663157440566079
